평균공부시간(1주일),평균수면시간(1일),학점(4.5만점)
21,7,3.8
5,5,2.75
5,8,2.39
5,6,2.8
24,7,4
3,9,2
7,7,3
3,7.5,2.7
26,6,3.35
6,7,2.8
12,6,3.5
2.5,5,2.75
3.5,6,2.78
17,7,3.75
9,7,3.4
8,4.5,2.29
10,6.5,3.25
28,8,3.85
17.5,6.5,3.75
8,7,3.05
21,6,3.6
17,7,3.65
19,7,3.65
21,6,4
0,8,1.41
5,8,2.97
10,8,3.35
17,8,3.37
25,6.17,4.12
45,4,4.5
28,7,4.15
8,7,3
28,7,4.44
20,7,3.65
10,8,3
13,5.66,3.47
15.3,10,3.35
3,5,1.75
27,5,4.35
14,7,3.25
9,5,2.41
10,6,2.96
10,7,3
10,6,3.4
21,6.5,3.65
6,7,3.2
5,8,2.8
18,6,3.83
23,7,3.88
17,7,3.5
5,7,1.85
0,6,1.25
25,6,4.13
12,6.5,3.5
13,8,3.5
22,8,3.55
22,6,3.65
13,6.5,3.5
22,6,3.74
17,4,2.85
0,8,0.85
42,8,4.3
22.5,5,3.88
6,7,2.8
21,8,4
4,8,2.28
20,6,3.54
9,10,2.8
29,7,3.6
4,8,2.7
12,4,3.35
4,7,2.25
20,7,3.63
30,7,3.95
5,8,3
20,4,3.85
1,7,1.8
6,7,2.85
19,6,3.55
12,7,3
7,8,3
21,5,4
8,3,2.6
7,5,3.05
49,6,4.5
28,6,4.25
5,6,2.4
33,6,3.98
28,7,3.85
12,7,3.48
13.5,7,3.5
21,7,3.6
3,6,2.89
8,5,2.82
15,7,3.25
17,7,3.58
14,6,3.7
8,5,2.5
18,8,3.65
28,7.5,4.25
13,5,3.5
24.5,8,4.13
43,7,4.3
8,7,3.05
14,8,3.15
20.5,8,3.82
26,8,4.15
9,6.5,3.05
30,12,3.89
16,7,3.6
7,8.5,3.15
25,7.5,3.85
30,7,3.9
14.33,7,3.71
18,6,3.4
13,7,3.55
14,7.5,3.7
3,8,2.75
16,7,3.2
17,7,3.55
35,5,3.8
22,5.5,3.55
22,4,3.25
2,6,2.05
24,7,3.96
29,8,4.21
22,6,3.75
1,7,1.8
5,8,3.1
34,7,4.4
6,7,2.85
14,7,3.35
29,8,4.3
12,7,3.1
17.5,6,3.75
12,8,3.45
1,8,1.9
26,7,3.6
28,8,4.15
6,6,3
0,8,1.25
23,7,3.9
10,8,2.9
6,5,2.65
24,6,3.97
24,7,3.2
22,7,4
6,7,2.4
28,7,4.27
22,8,3.85
17,7,3.33
7,6.33,3.15
29,7,4.28
12,6.5,3.5
23,6,3.99
15,6,3.58
